,High_School_ID,High School
503,503,St. Mark's School of Texas
504,504,St. Andrew's Episcopal
505,505,Royal Grammar
506,506,Arendell Parrott Academy
507,507,Montclair High School
508,508,El Toro
509,509,Longmeadow
510,510,Half Hollow Hills West
511,511,South County School
512,512,Milton Academy
513,513,Groton School
514,514,Adlai Stevenson
515,515,Rolla
516,516,Maret School
517,517,Seton Hall Prep
518,518,St. Ignatius
519,519,Kingswood College
520,520,Andover Academy
521,521,Lassiter
522,522,Junipero Serra
523,523,Nazareth
524,524,Middlesex (EJHL)
525,525,Corona Del Mar
526,526,Dana Hills High School
527,527,Tallmadge High School
528,528,Lamar H.S.
529,529,Deerfield-Windsor School
530,530,Nimitz Senior
531,531,Jesuit
532,532,Pingry School
533,533,Newport Harbor
534,534,Clover Hill
535,535,Loyola
536,536,Park Tudor School
537,537,Westwood
538,538,Thomas Jefferson
539,539,Baylor
540,540,Kent Place
541,541,Sidwell Friends
542,542,Bulkeley
543,543,Philips Exeter Academy
544,544,Tomball HS
545,545,Punahou School
546,546,Naperville North
547,547,Belmont Hill School
548,548,Saint Ignatius
549,549,Friends Academy
550,550,Mark Keppel High School
551,551,Avon
552,552,Sage Ridge School
553,553,St. Joseph's Preparatory School
554,554,Watchung Hills
555,555,Glendora
556,556,Princeton
557,557,Greater Atlanta Christian
558,558,Rancho Bernardo
559,559,Magnificat
560,560,Coppell
561,561,La Jolla Country Day
562,562,Blacksburg High School
563,563,Punahou
564,564,Grosse Pointe South High School
565,565,Teays Valley
566,566,'Iolani School
567,567,St. Francis
568,568,Rye High School
569,569,Vista del Lago High School
570,570,St. Stephen's and St. Agnes
571,571,Olympia
572,572,Lorne Park Secondary School
573,573,Harlingen
574,574,Brentwood High School
575,575,OSZ TIEM
576,576,St. Albans School
577,577,St. Mary's Prep - Orchard Lakes
578,578,Greenwich Adademy
579,579,Plano West
580,580,Starr's Mill High School
581,581,Sachse
582,582,Boston Junior Bruins (EJHL)
583,583,Whitney Young
584,584,South Lake Christian
585,585,St. Thomas Aquinas
586,586,Coeur d'Alene High School
587,587,Morrilton
588,588,St. Xavier High School
589,589,Radnor
590,590,Park School
591,591,Falmouth
592,592,Culver Academy
593,593,Riverview
594,594,Breck School
595,595,The Cambridge School of Weston
596,596,Penn Charter School
597,597,Alamo Heights
598,598,New Trier Township High School
599,599,Skaneateles High School
600,600,CBC Monkstown
601,601,Archmere Academy
602,602,La Salle College High School
603,603,Brunswick
604,604,Bellarmine College Preparatory
605,605,Springfield Southeast
606,606,Lone Star (NAHL)
607,607,Old Lyme
608,608,Wooster
609,609,Oak Knoll
610,610,Torrey Pines
611,611,American Heritage
612,612,Huntington
613,613,Council Rock High School South
614,614,Joliet Catholic Academy
615,615,American Heritage School
616,616,New Trier Township
617,617,Washington HS
618,618,Mira Loma
619,619,Brophy College Prep
620,620,Kofa
621,621,Newton Country Day
622,622,North Allegheny High School
623,623,St. Paul's School
624,624,Saint Stephens
625,625,Ridgewood
626,626,Montpelier High School
627,627,Hun School
628,628,Fenwick
629,629,Gill St. Bernard's School
630,630,Hingham
631,631,Rockville
632,632,Pharr-San Juan-Alamo
633,633,Manalapan
634,634,McKinley
635,635,Palo Alto
636,636,Westside
637,637,Eden
638,638,Bethesda- Chevy Chase
639,639,Cleveland
640,640,Winter Park HS
641,641,Catonsville
642,642,Sunnyslope
643,643,Clintonville
644,644,Acalanes
645,645,West Seattle
646,646,St. Stephens St. Agnes
647,647,Pittsford Sutherland
648,648,Neuqua Valley
649,649,Rochester Adams
650,650,Northport High School
651,651,Washington-Lee
652,652,Baylor School
653,653,Lincoln-Sudbury
654,654,Ramapo
655,655,Grace Christian
656,656,Paul Laurence Dunbar
657,657,Bearden
658,658,Shipley School
659,659,Penn High School
660,660,Hamden Hall Country Day School
661,661,Lakeland Union High School
662,662,Uskudar American Academy
663,663,Poolesville
664,664,New Hampshire (EJHL)
665,665,Francis W. Parker
666,666,Harborfields
667,667,St. Ignatius College Prep
668,668,Walnut
669,669,Concord Academy
670,670,Randolph High School
671,671,The Hill Academy
672,672,Oak Hills
673,673,Prosper High School
674,674,Forest Hills Northern
675,675,Northport
676,676,Oak Ridge
677,677,Evangel Christian Academy
678,678,Cheyenne
679,679,Piedmont High School
680,680,Rudolf Steiner Schule
681,681,Wando
682,682,A.C. Reynolds
683,683,Santa Barbara
684,684,Chestnut Hill
685,685,New Fairfield
686,686,Canisius High School
687,687,Geelong Grammar School
688,688,Thomas Edison
689,689,Phillips Andover Academy
690,690,Deep Run High School
691,691,Phoenix Country Day School
692,692,Rumson Fair Haven Regional
693,693,Plano Senior High School
694,694,King's College
695,695,McCallie School
696,696,Notre Dame Prep
697,697,Francis Parker HS
698,698,St. Georges School
699,699,Wheeler School
700,700,Grant
701,701,Plainedge
702,702,Aiken
703,703,Viewpoint School
704,704,Pleasant Grove
705,705,Fairfield Prep
706,706,Edge School for Athletes
707,707,Bakersfield Christian
708,708,Fairfield College Preparatory School
709,709,Phillips Andover
710,710,Mayfair
711,711,E.O. Smith
712,712,Gates-Chili
713,713,Canyon High School
714,714,The Bush School
715,715,Agnes Irwin School
716,716,Nobles & Greenough
717,717,Pasadena Polytechnic
718,718,Holland Hall
719,719,Danbury
720,720,"Phillips Academy, Andover"
721,721,Francis Parker School
722,722,Hilton Head Island High School
723,723,Oakwood High School
724,724,Grosse Pointe Woods North
725,725,Cosby
726,726,Rhinebeck
727,727,Sacred Heart
728,728,William Fremd High
729,729,Strath Haven HS
730,730,Mercer Island
731,731,Kantonsschule Hohe Promenade
732,732,Lakewood
733,733,Gonzaga Prep
734,734,Llantwit Major School
735,735,Geelong Grammar
736,736,Etiwanda
737,737,Salisbury
738,738,Kamiak High School
739,739,Fairview
740,740,Clearwater High School
741,741,Villa Maria Academy
742,742,Garrison Forest
743,743,Evanston Township
744,744,North American Hockey Academy
745,745,Waterford
746,746,Salisbury School
747,747,Saints Peter and Paul
748,748,Hathaway Brown
749,749,Walt Whitman
750,750,Harpeth Hall
751,751,University Liggett School
752,752,Georgetown Visitation Prep High School
753,753,Lampeter Strasburg HS
754,754,Hopkins School
755,755,Madison
756,756,Tower Hill School
757,757,St. Ann's School
758,758,Watchung Hills Regional High School
759,759,Carondelet
760,760,Bishop Guertin High School
761,761,Middlesex
762,762,Clifton
763,763,Onteora High School
764,764,Oak Park and River Forest
765,765,Homesdale High School
766,766,ProCivitas Privata Gymnasium
767,767,Saint Charles East
768,768,Burlington-Edison
769,769,Shawnee Mission South
770,770,Charters School
771,771,Fort Bend Stephen F. Austin H.S.
772,772,Winston Churchill High School
773,773,Westborough High School
774,774,Piedmont
775,775,St. Stephen & St. Agnes
776,776,Dana Hills H.S.
777,777,James Madison Memorial
778,778,St. Augustine
779,779,Walt Whitman High School
780,780,Stevens High School
781,781,Trinity
782,782,Randolph
783,783,Kent Place School
784,784,Northern Burlington
785,785,Whitney
786,786,Sycamore
787,787,Homestead
788,788,Alverno
789,789,Kutztown
790,790,Castilleja
791,791,Sacred Heart Preparatory School
792,792,Perkiomen Valley
793,793,Robert Service
794,794,West Chester East HS
795,795,Shoreham-Wading River
796,796,Garden City
797,797,Menlo Atherton
798,798,Regis Jesuit
799,799,Ocean City
800,800,Misson Viejo
801,801,Oak Meadow
802,802,Andover
803,803,Elizabethton
804,804,Dubuque (USHL)
805,805,Polytechnic
806,806,San Francisco University High School
807,807,Dana Hills
808,808,Union
809,809,Derryfield
810,810,Ardsley
811,811,Spring Valley
812,812,Loyola Academy
